Date,Natural_Gas,Crude_oil,Bitcoin,Ethereum,Nasdaq100,Apple,Tesla,Microsoft,Silver,Google,Nvidia,Berkshire,Netflix,Amazon,Meta,Gold
28-06-2023,1320,368300,51060,356710,247520000,50900000,159770000,19520000,40,27050000,57990000,6510,8800000,50960000,16580000,630
27-06-2023,71150,384750,55820,386050,269000000,49730000,164970000,23680000,0,39370000,44820000,5490,4780000,46390000,25810000,230
26-06-2023,31600,280120,58710,479760,266060000,47500000,179990000,21250000,10,33680000,58900000,8290,4630000,59590000,23950000,770
23-06-2023,84430,322480,98850,428030,420630000,53120000,177460000,23150000,53210,34910000,35810000,6200,8300000,71930000,51090000,750
22-06-2023,109160,421350,79220,438750,234610000,50840000,166880000,23030000,0,26820000,40810000,6460,4860000,87860000,17270000,370
21-06-2023,125410,264660,143490,653630,308960000,49360000,211800000,24870000,78460,30070000,55160000,6680,5150000,52140000,19920000,810
20-06-2023,198220,28740,100550,359770,291160000,48960000,165610000,26010000,110460,25370000,44800000,8410,4730000,55090000,20530000,740
16-06-2023,194540,99190,69240,333350,771260000,101260000,167920000,46550000,62350,45540000,65570000,6530,8750000,84250000,43130000,620
15-06-2023,260280,115610,68380,397400,321050000,65280000,160170000,38610000,0,35170000,56670000,6490,7090000,59000000,25850000,820
14-06-2023,141180,304450,60820,451130,308980000,56520000,170580000,25830000,61200,30340000,72940000,6800,8370000,50300000,19180000,199710
13-06-2023,179760,366350,56240,303230,275480000,54650000,162380000,22660000,73640,21890000,60770000,5930,7740000,50170000,16090000,198400
12/6/2023,174480,404770,40750,320470,283890000,53570000,150740000,24180000,58040,27420000,38440000,8340,5930000,51050000,15380000,122540
9/6/2023,169480,300720,38960,215710,258230000,48900000,200240000,22530000,63770,23780000,42770000,6240,12370000,51400000,16950000,130410
8/6/2023,217010,485400,39950,202780,254490000,50210000,164490000,23280000,84070,29390000,41780000,5870,5920000,62160000,20900000,191840
7/6/2023,182390,299130,77480,454830,334570000,61940000,185710000,40720000,73330,52540000,51200000,6230,11930000,95660000,26160000,189530
6/6/2023,147730,314960,88610,518570,249040000,64340000,146910000,20210000,44280,25970000,37990000,6100,4970000,45210000,19260000,136000
5/6/2023,149920,383940,85420,588610,254090000,121320000,151140000,21110000,47490,30680000,39380000,5670,7150000,47170000,20570000,179990
2/6/2023,155170,322600,49370,329160,273860000,62000000,164400000,25870000,62060,26980000,48270000,6530,5900000,61260000,19350000,209690
1/6/2023,210620,395390,51980,286980,314660000,65300000,148030000,25800000,76910,30530000,62370000,5680,7140000,53780000,25280000,176910
31-05-2023,151830,444790,63080,337870,615280000,99310000,150710000,45550000,76730,37240000,99880000,5670,6960000,71770000,25370000,207750
30-05-2023,183530,440860,45190,288670,307600000,55770000,128820000,29410000,79060,35000000,91420000,8120,10840000,63760000,23690000,264370
26-05-2023,2170,261500,45880,290890,353940000,54830000,162060000,36630000,280,35640000,71440000,5800,9360000,96780000,25770000,130070
25-05-2023,48660,422640,50170,370600,343010000,55920000,96870000,41890000,360,40790000,153460000,5650,6180000,64210000,21990000,0
24-05-2023,33040,386610,72650,441640,239370000,43490000,137610000,22010000,260,33160000,55280000,5970,7910000,61380000,17320000,190
23-05-2023,58740,317590,50890,428050,241740000,49180000,156950000,29930000,380,33850000,35470000,6080,6800000,62460000,17670000,0
22-05-2023,114480,18680,35560,250270,227410000,43310000,132000000,23050000,280,34990000,36970000,9710,5000000,70370000,27490000,10
19-05-2023,162130,69950,36670,253500,266500000,52680000,136200000,25730000,150,41010000,47390000,6400,7860000,55060000,21730000,110
18-05-2023,186290,80860,63390,311240,276880000,65090000,109520000,26370000,350,34400000,73890000,5880,20780000,69900000,22810000,20
